Date,Price
1988-06-02,100.02
1988-06-03,100.04
1988-06-06,100.09
1988-06-07,100.11
1988-06-08,100.13
1988-06-09,100.15
1988-06-10,100.16
1988-06-13,100.22
1988-06-14,100.24
1988-06-15,100.25
1988-06-16,100.27
1988-06-17,100.2
1988-06-20,100.18
1988-06-21,100.72
1988-06-22,101.31
1988-06-23,101.26
1988-06-24,101.04
1988-06-27,100.29
1988-06-28,101.04
1988-06-29,100.99
1988-06-30,101.48
1988-07-01,101.34
1988-07-05,102.05
1988-07-06,101.45
1988-07-07,101.64
1988-07-08,101.59
1988-07-11,101.99
1988-07-12,101.52
1988-07-13,102.13
1988-07-14,102.36
1988-07-15,102.76
1988-07-18,102.74
1988-07-19,102.25
1988-07-20,102.56
1988-07-21,101.73
1988-07-22,101.14
1988-07-25,101.51
1988-07-26,101.77
1988-07-27,101.11
1988-07-28,102.23
1988-07-29,103.42
1988-08-01,103.67
1988-08-02,103.74
1988-08-03,104.0
1988-08-04,103.91
1988-08-05,103.79
1988-08-08,103.68
1988-08-09,102.97
1988-08-10,101.69
1988-08-11,102.18
1988-08-12,101.98
1988-08-15,100.94
1988-08-16,101.78
1988-08-17,101.68
1988-08-18,101.94
1988-08-19,101.52
1988-08-22,100.63
1988-08-23,100.9
1988-08-24,101.77
1988-08-25,101.54
1988-08-26,101.69
1988-08-29,102.37
1988-08-30,102.54
1988-08-31,102.46
1988-09-01,101.74
1988-09-02,103.03
1988-09-06,103.34
1988-09-07,103.4
1988-09-08,103.44
1988-09-09,103.63
1988-09-12,103.74
1988-09-13,103.82
1988-09-14,103.94
1988-09-15,103.99
1988-09-16,103.99
1988-09-19,103.96
1988-09-20,104.23
1988-09-21,104.37
1988-09-22,104.22
1988-09-23,104.49
1988-09-26,104.4
1988-09-27,104.32
1988-09-28,104.59
1988-09-29,105.28
1988-09-30,105.19
1988-10-03,105.18
1988-10-04,105.15
1988-10-05,105.33
1988-10-06,105.44
1988-10-07,106.05
1988-10-10,106.19
1988-10-11,106.22
1988-10-12,105.84
1988-10-13,106.14
1988-10-14,106.25
1988-10-17,106.45
1988-10-18,106.56
1988-10-19,106.49
1988-10-20,106.65
1988-10-21,106.68
1988-10-24,106.62
1988-10-25,106.65
1988-10-26,106.47
1988-10-27,105.67
1988-10-28,106.03
1988-10-31,106.22
1988-11-01,106.36
1988-11-02,106.53
1988-11-03,106.55
1988-11-04,105.94
1988-11-07,105.59
1988-11-08,105.78
1988-11-09,105.73
1988-11-10,105.78
1988-11-11,103.83
1988-11-14,103.94
1988-11-15,104.11
1988-11-16,102.12
1988-11-17,102.72
1988-11-18,103.41
1988-11-21,103.76
1988-11-22,104.08
1988-11-23,104.34
1988-11-25,104.1
1988-11-28,104.52
1988-11-29,104.97
1988-11-30,105.18
1988-12-01,105.17
1988-12-02,105.13
1988-12-05,105.51
1988-12-06,105.61
1988-12-07,105.62
1988-12-08,105.66
1988-12-09,105.68
1988-12-12,105.79
1988-12-13,105.81
1988-12-14,105.88
1988-12-15,105.92
1988-12-16,105.92
1988-12-19,106.57
1988-12-20,106.36
1988-12-21,106.43
1988-12-22,106.45
1988-12-23,106.57
1988-12-27,106.58
1988-12-28,106.7
1988-12-29,106.97
1988-12-30,106.9
1989-01-03,106.62
1989-01-04,107.32
1989-01-05,107.41
1989-01-06,107.56
1989-01-09,107.7
1989-01-10,107.73
1989-01-11,107.85
1989-01-12,107.97
1989-01-13,108.04
1989-01-16,108.14
1989-01-17,108.16
1989-01-18,108.23
1989-01-19,108.25
1989-01-20,108.26
1989-01-23,108.02
1989-01-24,108.67
1989-01-25,108.81
1989-01-26,109.05
1989-01-27,109.17
1989-01-30,109.41
1989-01-31,109.64
1989-02-01,109.66
1989-02-02,109.69
1989-02-03,109.76
1989-02-06,109.81
1989-02-07,109.95
1989-02-08,109.95
1989-02-09,109.96
1989-02-10,109.84
1989-02-13,110.05
1989-02-14,110.08
1989-02-15,110.22
1989-02-16,110.24
1989-02-17,110.18
1989-02-21,110.15
1989-02-22,109.29
1989-02-23,109.51
1989-02-24,108.25
1989-02-27,108.76
1989-02-28,109.05
1989-03-01,108.67
1989-03-02,109.58
1989-03-03,109.96
1989-03-06,110.78
1989-03-07,110.76
1989-03-08,110.9
1989-03-09,110.88
1989-03-10,110.79
1989-03-13,111.44
1989-03-14,111.41
1989-03-15,111.82
1989-03-16,112.07
1989-03-17,111.21
1989-03-20,111.12
1989-03-21,111.61
1989-03-22,111.52
1989-03-23,111.37
1989-03-27,111.8
1989-03-28,112.08
1989-03-29,112.25
1989-03-30,112.25
1989-03-31,112.58
1989-04-03,112.85
1989-04-04,112.86
1989-04-05,113.0
1989-04-06,112.9
1989-04-07,113.13
1989-04-10,113.22
1989-04-11,113.35
1989-04-12,113.4
1989-04-13,113.25
1989-04-14,113.6
1989-04-17,113.7
1989-04-18,113.76
1989-04-19,113.78
1989-04-20,113.81
1989-04-21,113.81
1989-04-24,113.92
1989-04-25,113.72
1989-04-26,113.77
1989-04-27,114.07
1989-04-28,114.12
1989-05-01,114.24
1989-05-02,114.21
1989-05-03,114.27
1989-05-04,114.29
1989-05-05,114.39
1989-05-08,114.39
1989-05-09,114.29
1989-05-10,114.41
1989-05-11,114.62
