==============================================================================================================
  SECTION 1A: REGIME TIMELINE (168 months, 2010-01 through 2023-12)
==============================================================================================================
      Date  Growth    Infl     Liq    Risk          Label   SPY_1m   SPY_3m
--------------------------------------------------------------------------------------------------------------
2010-01-01     -36     +21     +87      -3    STAGFLATION    -3.0%    +4.0%
2010-02-01     -46      +4     +88     -11          MIXED    +7.3%    +9.7%
2010-03-01     -36      +6     +85      +7          MIXED    +4.6%    -2.1%
2010-04-01     -15      -6     +83     +16          MIXED    -0.2%   -13.2%
2010-05-01      +8      +2     +85     -17          MIXED    -5.8%    -4.1%
2010-06-01     -41     -26     +80     -62      DEFLATION    -4.4%    +2.3%
2010-07-01     -64     -38     +79     -49      DEFLATION    +9.8%   +12.1%
2010-08-01     -16     -50     +80      -9          MIXED    -1.8%    +5.7%
2010-09-01     -38     -58     +78      -4      DEFLATION    +2.5%   +10.8%
2010-10-01      +7     -43     +81      -2          MIXED    +5.5%   +10.6%
2010-11-01     +29     -35     +84      +7     GOLDILOCKS    +0.5%    +6.7%
2010-12-01     +20     -25     +79      -2          MIXED    +3.4%    +7.8%
2011-01-01     +26      -5     +79     +20     GOLDILOCKS    +3.0%    +5.0%
2011-02-01     +28     +12     +78     +31     GOLDILOCKS    +1.0%    +1.9%
2011-03-01     +25     +35     +79     +17      REFLATION    +0.5%    -0.6%
2011-04-01     +21     +57     +78     +36      REFLATION    +1.2%    +0.5%
2011-05-01     +16     +72     +81     +38          MIXED    -3.3%    -6.9%
2011-06-01     +15     +58     +79     +26          MIXED    +2.7%    -9.7%
2011-07-01     +15     +62     +80     +44          MIXED    -5.8%   -15.5%
2011-08-01      -1     +64     +81      +0          MIXED    -1.9%    +3.2%
2011-09-01     -11     +50     +75     -41          MIXED    -4.7%    +6.0%
2011-10-01     -41     +37     +64     -69    STAGFLATION   +12.4%   +11.8%
2011-11-01     +56     +52     +67     -55      REFLATION    -0.5%    +5.7%
2011-12-01     +44     +51     +62     -20      REFLATION    +2.1%   +10.0%
2012-01-01     +51     +52     +59      +3      REFLATION    +5.4%   +10.7%
2012-02-01     +65     +51     +61     +23      REFLATION    +1.6%    +1.8%
2012-03-01     +75     +55     +60     +25      REFLATION    +2.9%    -6.7%
2012-04-01     +66     +58     +59     +30      REFLATION    -2.0%    -1.7%
2012-05-01     +48     +54     +52     +38      REFLATION    -6.4%    -0.2%
2012-06-01     +12     +20     +35     -20          MIXED    +7.2%   +10.3%
2012-07-01     +39     +26     +35     +34      REFLATION    +1.4%    +5.2%
2012-08-01     +60     +45     +38     +29      REFLATION    +1.4%    +1.6%
2012-09-01     +71     +53     +36     +32      REFLATION    +3.7%    +0.3%
2012-10-01     +70     +62     +34     +34      REFLATION    -3.1%    -0.2%
2012-11-01     +54     +42     +32     +45      REFLATION    -0.3%    +6.8%
2012-12-01     +34     +31     +27     +50      REFLATION    +3.2%    +8.2%
2013-01-01     +46     +38     +43     +35      REFLATION    +3.3%    +6.5%
2013-02-01     +82     +56     +47     +68      REFLATION    +3.3%    +8.0%
2013-03-01     +77     +41     +51     +54      REFLATION    +1.6%    +7.1%
2013-04-01     +65     +40     +51     +64      REFLATION    +3.5%    +3.5%
2013-05-01     +66     +14     +68     +69     GOLDILOCKS    +1.8%    +5.9%
2013-06-01     +66      +0     +75     +67     GOLDILOCKS    -1.4%    +0.1%
2013-07-01     +63     -12     +74     +60     GOLDILOCKS    +6.0%    +4.9%
2013-08-01     +55     -11     +81     +83     GOLDILOCKS    -3.8%    +3.1%
2013-09-01     +58     -21     +79     +55     GOLDILOCKS    +1.9%    +8.5%
2013-10-01     +59     -18     +78     +72     GOLDILOCKS    +4.3%    +9.2%
2013-11-01     +79     -39     +81     +85     GOLDILOCKS    +1.6%    +0.7%
2013-12-01     +76     -50     +80     +86     GOLDILOCKS    +1.8%    +4.4%
2014-01-01     +64     -22     +84     +88     GOLDILOCKS    -4.9%    +1.9%
2014-02-01     +34      -7     +81     +59     GOLDILOCKS    +7.3%    +7.5%
2014-03-01     +55     +19     +78     +83     GOLDILOCKS    +0.5%    +2.8%
2014-04-01     +66      +4     +72     +89     GOLDILOCKS    +0.9%    +6.3%
2014-05-01     +70     +33     +71     +88      REFLATION    +2.5%    +2.3%
2014-06-01     +69     +31     +67     +90      REFLATION    +2.6%    +3.8%
2014-07-01     +82     +48     +67     +89      REFLATION    -2.9%    -1.9%
2014-08-01     +66      +7     +63     +48     GOLDILOCKS    +4.2%    +4.8%
2014-09-01     +60     -26     +55     +80     GOLDILOCKS    -1.8%    +3.8%
2014-10-01     +51     -66     +45     +44     GOLDILOCKS    +2.6%    +4.6%
2014-11-01     +67     -87     +41     +61     GOLDILOCKS    +3.2%    +0.3%
2014-12-01     +70     -94     +14     +50     GOLDILOCKS    -1.0%    +1.2%
2015-01-01     +89     -99      +1      -8     GOLDILOCKS    -0.4%    +0.4%
2015-02-01     +28     -98      -3     -28     GOLDILOCKS    +1.7%    +2.4%
2015-03-01     +55     -97      -2     +60     GOLDILOCKS    -1.8%    +0.5%
2015-04-01     +58     -94      -9     +46     GOLDILOCKS    +2.3%    +0.4%
2015-05-01     +45     -89      -5     +65     GOLDILOCKS    +0.3%    -0.4%
2015-06-01     +71     -86     -21     +58     GOLDILOCKS    -1.3%    -7.0%
2015-07-01     +58     -84     -18     +25     GOLDILOCKS    +1.2%    -5.9%
2015-08-01     +44     -91     -35     +45     GOLDILOCKS    -6.6%    +0.5%
2015-09-01     -34     -91     -48     -87      DEFLATION    +1.3%    +6.8%
2015-10-01     -59     -89     -37     -71      DEFLATION    +8.2%    +4.6%
2015-11-01     +58     -63     -34      -8     GOLDILOCKS    -0.4%    -9.6%
2015-12-01     +83     -70     -81     -18     GOLDILOCKS    -2.7%    -4.7%
