date,asset,action
2000-02-25,SPY,exit_cash
2000-04-17,SPY,exit_cash
2000-05-24,QQQ,exit_cash
2000-05-26,SPY,exit_cash
2000-09-22,QQQ,exit_cash
2002-04-10,SPY,exit_cash
2003-03-05,QQQ,exit_cash
2004-07-15,QQQ,exit_cash
2004-08-06,SPY,exit_cash
2004-10-25,SPY,exit_cash
2005-03-23,QQQ,exit_cash
2005-10-13,QQQ,exit_cash
2005-10-13,SPY,exit_cash
2006-05-17,QQQ,exit_cash
2006-06-13,SPY,exit_cash
2006-07-14,SPY,exit_cash
2007-01-08,GLD,exit_cash
2007-08-16,SPY,exit_cash
2007-11-12,SPY,exit_cash
2007-12-18,SPY,exit_cash
2008-01-09,QQQ,exit_cash
2008-06-27,QQQ,exit_cash
2008-08-12,GLD,exit_cash
2009-01-13,GLD,exit_cash
2010-06-08,SPY,exit_cash
2010-06-30,QQQ,exit_cash
2010-08-12,SPY,exit_cash
2010-08-24,QQQ,exit_cash
2011-08-05,SPY,exit_cash
2011-08-08,QQQ,exit_cash
2011-11-21,QQQ,exit_cash
2011-12-16,GLD,exit_cash
2012-03-23,GLD,exit_cash
2012-12-21,GLD,exit_cash
2012-12-31,QQQ,exit_cash
2013-01-07,GLD,exit_cash
2014-08-05,GLD,exit_cash
2014-09-03,GLD,exit_cash
2014-10-17,SPY,exit_cash
2015-02-12,GLD,exit_cash
2015-08-24,QQQ,exit_cash
2015-08-24,SPY,exit_cash
2015-11-16,SPY,exit_cash
2015-12-14,SPY,exit_cash
2016-01-05,SPY,exit_cash
2016-01-08,QQQ,exit_cash
2016-04-29,QQQ,exit_cash
2016-06-27,QQQ,exit_cash
2016-06-28,SPY,exit_cash
2016-11-14,GLD,exit_cash
2017-12-08,GLD,exit_cash
2018-05-16,GLD,exit_cash
2018-10-25,QQQ,exit_cash
2018-10-25,SPY,exit_cash
2018-12-06,SPY,exit_cash
2020-02-28,SPY,exit_cash
2020-03-10,QQQ,exit_cash
2021-06-18,GLD,exit_cash
2021-08-09,GLD,exit_cash
2021-09-08,GLD,exit_cash
2022-01-07,GLD,exit_cash
2022-01-24,QQQ,exit_cash
2022-02-23,SPY,exit_cash
2022-04-13,SPY,exit_cash
2022-05-11,GLD,exit_cash
2022-12-16,SPY,exit_cash
2023-03-13,SPY,exit_cash
2023-09-28,GLD,exit_cash
2023-10-27,SPY,exit_cash
2025-03-11,QQQ,exit_cash
2025-03-12,SPY,exit_cash
2026-03-30,QQQ,exit_cash
2026-03-30,SPY,exit_cash
2026-06-11,GLD,exit_cash
