date,p1,p2,gold,p1_lev,p2_lev,ret,nav
2020-02-17,qld,sso,iau,True,True,-3.324685065553279e-05,16.020431638507322
2020-02-18,qld,sso,iau,True,True,-0.00038192998311137316,16.01431295532219
2020-02-19,qld,sso,iau,True,True,0.01336759672245158,16.22838583269607
2020-02-20,qld,sso,iau,True,True,-0.01225760321944458,16.029464718266826
2020-02-21,qld,sso,iau,True,True,-0.025297263191797703,15.623963130465196
2020-02-24,qld,sso,iau,True,True,-0.06498157182449693,14.60869344811958
2020-02-25,qld,sso,iau,True,True,-0.05242332217931567,13.842857204869949
2020-02-26,qld,sso,iau,True,True,0.0010249294888986515,13.857045157429834
2020-02-27,qld,cash,iau,True,False,-0.04551860062749913,13.226291853031565
2020-02-28,qld,cash,iau,True,False,0.00022604387886815402,13.229281575345068
2020-03-02,qqq,cash,iau,False,False,0.022979847557378807,13.533288449240137
2020-03-03,qqq,cash,iau,False,False,-0.010916399402564059,13.385553667298126
2020-03-04,qqq,cash,iau,False,False,0.018395069298695388,13.631781854609482
2020-03-05,qqq,cash,iau,False,False,-0.011174441301714078,13.479454308437377
2020-03-06,qqq,cash,iau,False,False,-0.00732617101220101,13.380701521022615
2020-03-09,qqq,cash,iau,False,False,-0.029886508512405263,12.980799071112619
2020-03-10,qqq,cash,iau,False,False,0.020144195053239944,13.242286819548028
2020-03-11,qqq,cash,iau,False,False,-0.019093715259786648,12.989442365627152
2020-03-12,qqq,cash,iau,False,False,-0.04294898539798153,12.431558995137909
2020-03-13,qqq,cash,iau,False,False,0.030151103433690984,12.806384216242344
2020-03-16,qqq,cash,iau,False,False,-0.05134649664557711,12.148821252041085
2020-03-17,qqq,cash,iau,False,False,0.030970984642295418,12.525082208460041
2020-03-18,qqq,cash,iau,False,False,-0.01452789535677057,12.343119124800586
2020-03-19,qqq,cash,iau,False,False,0.0003089823975490624,12.346932931341
2020-03-20,qqq,cash,iau,False,False,-0.014079457738948475,12.173094810928553
2020-03-23,qqq,cash,iau,False,False,0.005199469156746961,12.236388441940132
2020-03-24,qqq,cash,iau,False,False,0.035722615961777615,12.673504247010694
2020-03-25,qqq,cash,iau,False,False,-0.004598417344857775,12.615226185261111
2020-03-26,qqq,cash,iau,False,False,0.022727927386189117,12.901944129960079
2020-03-27,qqq,cash,iau,False,False,-0.015020713103125694,12.708147728711392
2020-03-30,qqq,cash,iau,False,False,0.015316636474136613,12.90279380773169
2020-03-31,qqq,cash,iau,False,False,-0.007195534864691933,12.809951305036225
2020-04-01,cash,cash,iau,False,False,0.0010599536086004502,12.823529259147994
2020-04-02,cash,cash,iau,False,False,0.0018505838250262308,12.847260274974724
2020-04-03,cash,cash,iau,False,False,0.000568005800518856,12.854557593331684
2020-04-06,cash,cash,iau,False,False,0.0031872003354642686,12.895527643605394
2020-04-07,cash,cash,iau,False,False,-0.0006249704346995566,12.88746832008829
2020-04-08,cash,cash,iau,False,False,-0.001035217860361981,12.874126982708486
2020-04-09,cash,cash,iau,False,False,0.0030431551946619173,12.913304949112652
2020-04-10,cash,cash,iau,False,False,0.0,12.913304949112652
2020-04-13,cash,cash,iau,False,False,0.002045843452687768,12.939723549495353
2020-04-14,cash,cash,iau,False,False,0.0009560124641248002,12.952094086491
2020-04-15,cash,cash,iau,False,False,-0.0006147564448978349,12.944131703176406
