month,qqq_sc,ivv_sc,iau_sc,p1_mode,p2_mode,gold_mode,eff_equity,gold_exp,cash_exp,monthly_ret,cum_ret,drawdown
2002-01-01,1,1,0,cash,cash,cash,0.0,0.0,1.0,0.0013786820421617385,1.0,0.0
2002-02-01,1,1,0,cash,cash,cash,0.0,0.0,1.0,0.0013011981474162493,1.0014474274834289,0.0
2002-03-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0014196071605556693,1.0027509069103586,0.0
2002-04-01,0,2,0,cash,ivv_partial,cash,0.315,0.0,0.685,-0.01735214392532458,1.0042909200421035,0.0
2002-05-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0015090222591056524,0.9867498402286197,-0.017466134028921085
2002-06-03,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0013496740298548637,0.9882380834392834,-0.015984249466426615
2002-07-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0014704754609260462,0.9895703120739977,-0.01465771289407722
2002-08-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0014116645077812962,0.9910242712212076,-0.013209965913402575
2002-09-02,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0012936513865187127,0.9923582891708784,-0.011881647671099956
2002-10-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0013806708175294613,0.9937035660224119,-0.010542118631569142
2002-11-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0009313629402161183,0.9950696208352263,-0.009181900406398782
2002-12-02,1,1,0,cash,cash,cash,0.0,0.0,1.0,0.0009929294894326368,0.9959888827265534,-0.00826656614121541
2003-01-01,1,0,0,cash,cash,cash,0.0,0.0,1.0,0.0009746584195309271,0.9969295654089707,-0.007329902607129213
2003-02-03,1,0,0,cash,cash,cash,0.0,0.0,1.0,0.0008789371522281986,0.9979471663396154,-0.006316649464701047
2003-03-03,2,0,0,qqq_partial,cash,cash,0.315,0.0,0.685,0.0022364083789452316,0.992310342502496,-0.01192938948318412
2003-04-01,2,0,0,qqq_partial,cash,cash,0.315,0.0,0.685,0.028535799429683983,1.0035908993514062,-0.02075549708631281
2003-05-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.12688317448661857,1.0379425871237784,0.0
2003-06-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.01007488604799378,1.1561082034387822,-0.003537654390723977
2003-07-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.07231875099690632,1.19629768368229,-0.041808022144496075
2003-08-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.061214258238901476,1.234467664052053,-0.04930100986586456
2003-09-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.0406926499050293,1.3335330009253457,-3.309432077324139e-05
2003-10-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.12543190661641224,1.3297920094144626,-0.0635496030899738
2003-11-03,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.011903704681199612,1.4704053601436082,0.0
2003-12-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.0719912784183645,1.4909067386079777,0.0
2004-01-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.03098468560830203,1.5617481315113997,-0.0018274322567748047
2004-02-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.0020587512927114915,1.6124412223330433,-0.054471545921967346
2004-03-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.034195443697977,1.6407728011757352,-0.037858032465668885
2004-04-01,2,3,0,qqq_partial,sso,cash,1.215,0.0,-0.21500000000000008,-0.02801526396521914,1.5650389466400234,-0.08226803228997984
2004-05-03,1,2,0,cash,ivv_partial,cash,0.315,0.0,0.685,0.006190841125937929,1.5137828811484422,-0.11232436407753763
2004-06-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.04395447921413487,1.5139313967964905,-0.11223727515351327
2004-07-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.08236968349473228,1.5371995110658745,-0.0985929550941384
2004-08-02,0,2,0,cash,ivv_partial,cash,0.315,0.0,0.685,0.0017362914515812733,1.4550474492128849,-0.14676656351304812
2004-09-01,0,2,0,cash,ivv_partial,cash,0.315,0.0,0.685,0.004283471496005831,1.4574876352173174,-0.1453356491525882
2004-10-01,0,3,0,cash,sso,cash,0.9,0.0,0.09999999999999998,-0.00457741449980853,1.4862733416868097,-0.1284558372495771
2004-11-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.09425476025055546,1.464544970199851,-0.14119725890088602
2004-12-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.05294017198772716,1.639475092212411,-0.038619003304754554
2005-01-03,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.07950548246111122,1.6540427125244168,-0.030076614706380227
2005-02-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.01307798683496375,1.5579074499134735,-0.08644991066279938
2005-03-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.034208278483974675,1.586786484846975,-0.06951537135820991
2005-04-01,2,3,0,qqq_partial,sso,cash,1.215,0.0,-0.21500000000000008,-0.03181285682354762,1.5000080137961886,-0.12040188582053861
2005-05-02,0,2,0,cash,ivv_partial,cash,0.315,0.0,0.685,0.011614328570834331,1.4655355502392942,-0.14061638711445273
2005-06-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.03114862701433463,1.5017371413910683,-0.1193879329898583
2005-07-01,1,3,1,cash,sso,cash,0.9,0.0,0.09999999999999998,0.03545787188388805,1.4376468057647847,-0.1569702244413142
2005-08-01,3,3,1,qld,sso,cash,1.8,0.0,-0.8,-0.025376841863959165,1.4855457445412859,-0.1288824970215242
2005-09-01,3,3,1,qld,sso,cash,1.8,0.0,-0.8,0.014246728190191682,1.44388656733303,-0.1533112556505623
2005-10-03,3,3,2,qld,sso,cash,1.8,0.0,-0.8,-0.06562310814845174,1.4653868719838892,-0.1407035713907172
2005-11-01,3,2,2,qld,ivv_partial,cash,1.215,0.0,-0.21500000000000008,0.06450801176135346,1.3716906488252005,-0.1956466253198401
2005-12-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.015530754049409623,1.5000981166320377,-0.12034904991315269
2006-01-02,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.0623168683397759,1.4369824685866996,-0.1573597888460696
2006-02-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.018664546050761066,1.540618366864491,-0.09658815306277856
2006-03-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.03197232015150364,1.5271139611564413,-0.10450707728495869
2006-04-03,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.02056743559488461,1.5473101631962032,-0.09266411307118502
2006-05-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.06454102059992728,1.5533870457764245,-0.08910065580396341
2006-06-01,0,2,3,cash,ivv_partial,iau,0.315,0.1,0.5850000000000001,-0.0013082003346654991,1.476721698530544,-0.1340568788642174
2006-07-03,0,2,3,cash,ivv_partial,iau,0.315,0.1,0.5850000000000001,0.006799803166991358,1.478277974474723,-0.13314428548268054
2006-08-01,0,3,3,cash,sso,iau,0.9,0.1,-2.7755575615628914e-17,0.01988940117730098,1.4808539479050735,-0.1316337459717759
2006-09-01,0,3,3,cash,sso,iau,0.9,0.1,-2.7755575615628914e-17,0.019031368241276603,1.5204181836071136,-0.10843345184508424
2006-10-02,3,3,2,qld,sso,cash,1.8,0.0,-0.8,0.06586635916469885,1.5198439680674687,-0.1087701693166969
2006-11-01,3,3,2,qld,sso,cash,1.8,0.0,-0.8,0.043026135924715936,1.6148851171790959,-0.05303845671306342
2006-12-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.0087672581650301,1.700080783032379,-0.029479493693173483
2007-01-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.021296204425305554,1.6995962523200676,-0.030256652020925225
2007-02-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.035782930798924584,1.747312764815388,-0.020628517354340965
2007-03-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.0108763222532553,1.6625590825190786,-0.08228704390510745
2007-04-02,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.08862090535985345,1.6912938932434272,-0.06642576813455658
2007-05-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.054038773169712506,1.8483186418730613,-0.01585944213100969
2007-06-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.017491224963580243,1.9498169490635182,0.0
2007-07-02,3,3,2,qld,sso,cash,1.8,0.0,-0.8,-0.038380571015551035,1.9364279992064257,-0.008285567231551447
2007-08-01,3,2,2,qld,ivv_partial,cash,1.215,0.0,-0.21500000000000008,0.024864214817155172,1.8476822306625749,-0.10155504383518793
2007-09-03,3,2,3,qld,ivv_partial,iau,1.215,0.1,-0.31500000000000006,0.06985455028752141,1.8798200722394605,-0.08592785362487647
2007-10-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.08002998646084403,2.0504633193013535,-0.002951699997331007
2007-11-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.10735214780666291,2.0942048513258893,-0.03587252043392887
2007-12-03,3,2,3,qld,ivv_partial,iau,1.215,0.1,-0.31500000000000006,0.00041565710615820706,1.9221444809809474,-0.11508546423398072
2008-01-01,3,1,3,qqq,cash,iau,0.45,0.1,0.45000000000000007,-0.037372524338566415,1.939748141618806,-0.10698111238360197
2008-02-01,0,0,3,cash,cash,iau,0.0,0.1,0.9,0.006748473645205477,1.8632041831646575,-0.1422203267774016
2008-03-03,0,0,3,cash,cash,iau,0.0,0.1,0.9,-0.005372911129774338,1.8821330538240282,-0.13350587635088443
2008-04-01,0,0,3,cash,cash,iau,0.0,0.1,0.9,-0.0030899357141652706,1.862595481761625,-0.14250055998817965
2008-05-01,1,0,2,cash,cash,cash,0.0,0.0,1.0,0.0014458354818798203,1.8640832869233461,-0.14181560605936636
2008-06-02,3,1,2,qqq,cash,cash,0.45,0.0,0.55,-0.04266210169417639,1.856443841877632,-0.14533264446778413
2008-07-01,0,0,3,cash,cash,iau,0.0,0.1,0.9,-0.00015561114061501957,1.7896022280324062,-0.17610510526402626
2008-08-01,0,0,2,cash,cash,cash,0.0,0.0,1.0,0.0014359014445706197,1.786874543947236,-0.17736087314195026
2008-09-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0009456595555885627,1.7893245816278986,-0.17623292777767338
2008-10-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.0005890531844228164,1.7910763740723488,-0.17542643970506613
2008-11-03,0,0,0,cash,cash,cash,0.0,0.0,1.0,0.00013651642463829994,1.7921065234296294,-0.17495218079826302
2008-12-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,3.0159149349451297e-05,1.792321303466033,-0.174853300626618
2009-01-01,0,0,3,cash,cash,iau,0.0,0.1,0.9,-0.002842551486024969,1.792370379545296,-0.1748307070410015
2009-02-02,0,0,3,cash,cash,iau,0.0,0.1,0.9,0.001579050719319408,1.7826867253998384,-0.17928885594574626
2009-03-02,0,0,3,cash,cash,iau,0.0,0.1,0.9,-0.0022795486599266335,1.786945478584956,-0.17732821633980622
2009-04-01,1,0,3,cash,cash,iau,0.0,0.1,0.9,-0.0030234522473059355,1.7874297855726557,-0.17710525167849733
2009-05-01,2,1,3,qqq_partial,cash,iau,0.315,0.1,0.5850000000000001,0.019290237668295296,1.781437367315736,-0.17986403389929675
2009-06-01,2,2,3,qqq_partial,ivv_partial,iau,0.63,0.1,0.27,0.0038896078430785685,1.8441915478630202,-0.1509733406679343
2009-07-01,3,2,3,qld,ivv_partial,iau,1.215,0.1,-0.31500000000000006,0.10133667162463622,1.8280057959696365,-0.15842491741696618
2009-08-03,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.045457371238400546,2.066534482677168,-0.04861137106120418
2009-09-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.08943750919290228,2.0202864496478514,-0.06990298419599994
2009-10-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.046377444715404725,2.1699753161782307,-0.071444453552571
2009-11-02,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.12499445126156195,2.2039462569800845,-0.0899040531864755
2009-12-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.05953729800084995,2.5043500192959325,-0.010634210807231533
2010-01-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.09682350415171204,2.5978352824507653,-0.019818638528828963
2010-02-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.07281304945438705,2.405938834732938,-0.11585920738476535
2010-03-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.12982039961222513,2.573158530102905,-0.05440886963264543
2010-04-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.03706106625801975,2.8620563265289034,-0.00011883112223762818
2010-05-03,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.14295736427541028,3.0238135329396165,-0.02094681945173976
2010-06-01,2,1,3,qqq_partial,cash,iau,0.315,0.1,0.5850000000000001,-0.017871457528180867,2.52187398022012,-0.18346527840421764
2010-07-01,0,0,3,cash,cash,iau,0.0,0.1,0.9,-0.004530265049162652,2.4739664694199575,-0.19897681716482743
2010-08-02,2,1,3,qqq_partial,cash,iau,0.315,0.1,0.5850000000000001,-0.011873409032603366,2.4867685506415773,-0.19483174730482217
2010-09-01,0,0,3,cash,cash,iau,0.0,0.1,0.9,0.004566784918584199,2.4412978152465774,-0.20955430464024896
2010-10-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.09652034937878429,2.461529004125155,-0.20300383133821698
2010-11-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.0038124976305965452,2.6898108792069744,-0.12909051180786252
2010-12-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.1085476949065638,2.783717393699247,-0.09868537250733111
2011-01-03,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.039318676574039646,3.037088032925594,-0.01664878940131381
2011-02-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.06516859600070579,3.188381807467998,0.0
2011-03-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.007002491569430003,3.1935022981234438,-0.052739096497613776
2011-04-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.06007716737077384,3.2774404694375208,-0.027841244367044504
2011-05-02,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.025523447376284314,3.446949031433334,-0.004266623816699319
2011-06-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.03914033600883171,3.2364146271776852,-0.0650845039885581
2011-07-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.0019116140140018612,3.3286308079056783,-0.038445662468806464
2011-08-01,3,2,3,qld,ivv_partial,iau,1.215,0.1,-0.31500000000000006,-0.066448189606928,3.231088085354241,-0.06662320253758597
