date,asset,score
2000-02-24,IVV,3
2000-04-14,IVV,3
2000-05-23,QQQ,3
2000-05-25,IVV,3
2000-09-21,QQQ,3
2004-07-14,QQQ,3
2004-10-22,IVV,3
2005-03-22,QQQ,3
2005-10-12,QQQ,3
2005-10-12,IVV,3
2006-05-16,QQQ,3
2007-01-05,IAU,3
2007-11-09,IVV,3
2009-01-12,IAU,3
2011-08-05,QQQ,3
2011-11-18,QQQ,3
2011-12-15,IAU,3
2012-12-20,IAU,3
2012-12-28,QQQ,3
2014-07-31,IAU,3
2014-10-16,IVV,3
2015-02-11,IAU,3
2015-08-21,QQQ,3
2015-08-21,IVV,3
2015-11-13,IVV,3
2015-12-11,IVV,3
2016-01-07,QQQ,3
2016-04-28,QQQ,3
2016-06-24,QQQ,3
2016-06-27,IVV,3
2018-05-15,IAU,3
2018-10-24,QQQ,3
2018-10-24,IVV,3
2020-02-27,IVV,3
2021-06-17,IAU,3
2022-01-06,IAU,3
2022-01-21,QQQ,3
2022-04-12,IVV,3
2022-05-10,IAU,3
2025-03-11,IVV,3
2026-03-27,IVV,3
